,GSM2651032,GSM2651033,GSM2651034,GSM2651035,GSM2651036,GSM2651037,GSM2651038,GSM2651039,GSM2651040,GSM2651041,GSM2651042,GSM2651043,GSM2651044,GSM2651045,GSM2651046,GSM2651047
Mrm1,10.47786019,10.38059312,11.67011404,11.19644376,11.16059468,11.74080989,10.61290614,10.61727026,11.18965971,11.22827892,10.52213699,10.62474795,10.84457311,10.61006369,11.18932998,11.38499542
Fcmr,6.166275278,6.815088425,9.691236772,9.698932811,8.295635645,10.60076797,6.332688404,6.650551188,9.36619836,8.896709505,4.709848675,5.100754325,5.245181031,4.456937186,9.583700309,9.433080935
Cd63,16.56704847,16.43817105,15.90710952,16.19596703,16.15405111,15.96740825,16.41614573,16.45584094,16.09794614,16.07867695,16.47961723,16.48827046,16.49196169,16.58703347,16.18672581,16.08760639
Emilin1,10.39778026,10.28998088,8.735958315,8.967708396,9.528470281,8.65453038,10.32899236,10.13390783,9.184517272,8.963194187,10.85951694,9.865855854,10.44100369,10.52842367,8.719755528,9.060306355
Acsl4,10.2325829523333,10.1707704816667,9.72053512933333,9.65037185766667,9.62916988,9.645651216,10.4151976116667,10.4635853873333,9.664793636,9.97073217766667,10.5395465113333,10.2934154213333,10.3110537976667,10.690933999,9.747291696,9.70164227266667
Ms4a6c,10.28116557,10.5324199,9.296396493,9.191608071,9.183882527,8.906338358,10.38942379,10.53081464,9.208830816,9.369504826,10.59173759,10.53338755,10.14472182,10.09928219,9.695143529,9.37254962
Ror2,10.63851534,10.16212869,7.819816891,8.529268548,9.116319463,8.279565606,10.72678286,10.41933179,8.657600299,8.558725364,10.4970669,9.776641019,10.44568131,10.49663599,8.421911116,9.151781203
Ssr2,13.379827855,13.204563865,12.27199457,12.36866977,12.651559625,12.17526374,13.33845574,13.15655383,12.48640014,12.388223535,13.624513775,13.0322784,13.485910955,13.30481502,12.305655305,12.528371115
Apod,12.550554475,12.76159723,13.404301005,14.02951452,14.10014062,13.910838485,12.696876065,12.474625855,14.542775025,14.533137745,12.424108255,12.54719313,12.282320615,12.09146724,14.304072695,14.30874811
Ppm1b,10.970822572,11.082767265,11.996233975,11.42447489,11.61482818,11.85134061,11.152392534,11.1830986,11.834233865,11.723033005,10.7911253645,10.869033487,10.9592527095,10.841026253,11.72937252,11.60273442
Ecscr,11.17242583,11.187814625,9.9280947215,10.4385859285,10.55316644,10.091797947,11.318726025,11.04414481,10.265467091,10.3222475825,11.54539745,10.91808923,11.395559325,11.19041761,10.1481956405,10.338859917
Slc39a6,11.44579488,11.21267825,10.05906216,10.49413165,10.69929769,10.30295226,11.46688385,11.33922133,10.53166837,10.27457887,11.49207513,11.35076069,11.47212222,11.77126219,10.33841877,10.70765941
Il1r1,11.09656727,11.29166095,10.41628711,10.24047511,10.59791145,10.06548555,11.45006247,11.6003585,10.38028518,10.40131603,11.57238731,11.54646149,11.35353069,11.22042133,10.30307079,10.51173569
Tnfrsf12a,11.84527461,11.6011079,10.33100417,10.66056625,10.90747764,10.21063061,11.96286843,11.34424251,10.47953873,10.53279988,12.15313043,11.65808192,11.64575948,11.89984303,10.25516509,10.71538434
S100a11,13.35989669,13.19205334,11.9137342,12.27064478,12.54695743,11.77396552,13.3965767,13.25286775,12.19739708,12.23321753,13.41973801,13.00473706,13.27139917,13.33779066,12.79700747,12.52531489
Rdm1,10.0671038065,10.1872109915,10.93948191,10.4650133565,10.414044929,10.701166444,9.8491534645,10.032274287,10.8138719655,10.7902451415,9.9928430605,10.106537304,10.090907694,9.8543154575,10.688932243,10.684098219
Galnt15,8.6641491385,9.093567348,10.4173237865,10.7233362075,10.16742557,10.517650266,8.778727485,9.2917751005,10.97390762,10.9000793725,8.430221044,9.60145335,8.7405563925,8.7591687985,10.6471618255,10.391892567
Slco2b1,9.201004964,9.5480782985,9.988553775,10.4436127595,10.1626284,10.184195851,9.1612316245,9.4028803365,10.26006932,10.344004185,9.037063677,9.6357221315,9.215180226,8.9375296755,10.105027053,10.204000118
Lgmn,15.34632326,15.22405113,14.47175913,14.70033431,14.51190391,14.59577569,15.37308035,15.44713297,14.18346615,14.68457497,15.2752061,15.61783398,15.24021256,15.25134836,14.87263954,14.55763495
C5ar1,10.12497559,10.00263842,8.864907278,9.290990254,9.102600664,8.904097548,10.18870113,10.42168329,8.845620481,9.389588812,10.13667514,10.196684,9.914278948,9.990962028,9.864790906,9.271200999
Tnfaip8l1,10.08519399,10.4455101,9.250603956,9.594184379,9.535021647,9.162560868,10.0807623,10.17626408,9.478564214,9.600203025,10.61205139,10.44050233,10.14416953,10.41437173,9.370307374,9.451274506
Adamts1,12.02475973,11.53782344,10.46011503,10.34719632,11.0282284,10.46793991,12.13676713,11.74528325,10.34667812,10.50711933,11.61860728,11.63595071,11.77533523,12.13548087,10.76208154,10.84118911
Rgs16,10.95152476,10.69073877,8.2990521,9.163808661,9.599087962,8.575195582,11.07846764,10.64586165,9.214249965,9.351981921,10.43795701,10.70201563,10.66070808,10.51218162,9.197951205,9.515477147
Tprgl,11.029620936,11.0158916405,11.565796005,11.459602735,11.471461269,11.3592572355,10.8755287315,10.8457921985,11.6503151745,11.51647719,11.032866352,10.952602869,10.959274575,10.957412368,11.409695352,11.516593973
Acot7,10.912496071,10.844306154,10.1918733715,10.4463944655,10.4666436525,10.1448588725,10.930008942,10.8465389495,10.3183175215,10.4361457925,11.2473739,10.7599192505,11.1282702655,10.9023605315,10.463260141,10.2920560585
